Wavelength(nm)	Power 1	Power 2	Power 3	P1/P3	P2/P3
700.00000000	0.00089742	0.00010088	0.00000000	0.11240661	0.00000000
710.00000000	0.00083442	0.00010004	0.00000000	0.11989666	0.00000000
720.00000000	0.00087225	0.00010294	0.00000000	0.11801399	0.00000000
730.00000000	0.00083385	0.00010832	0.00000000	0.12990798	0.00000000
740.00000000	0.00075992	0.00011005	0.00000000	0.14482023	0.00000000
750.00000000	0.00061866	0.00010799	0.00000000	0.17456211	0.00000000
760.00000000	0.00055777	0.00010918	0.00000000	0.19574944	0.00000000
770.00000000	0.00043363	0.00010631	0.00000000	0.24516105	0.00000000
780.00000000	0.00036098	0.00010222	0.00000000	0.28317925	0.00000000
790.00000000	0.00033467	0.00010633	0.00000000	0.31770124	0.00000000
800.00000000	0.00030516	0.00010202	0.00000000	0.33431012	0.00000000
810.00000000	0.00027451	0.00010588	0.00000000	0.38570277	0.00000000
820.00000000	0.00024813	0.00010656	0.00000000	0.42946434	0.00000000
830.00000000	0.00021490	0.00010119	0.00000000	0.47088346	0.00000000
840.00000000	0.00020565	0.00010811	0.00000000	0.52571416	0.00000000
850.00000000	0.00017915	0.00010011	0.00000000	0.55882902	0.00000000
860.00000000	0.00012609	0.00009231	0.00000000	0.73212311	0.00000000
870.00000000	0.00011556	0.00010364	0.00000000	0.89679980	0.00000000
880.00000000	0.00009685	0.00010357	0.00000000	1.06937779	0.00000000
890.00000000	0.00008686	0.00010424	0.00000000	1.20008190	0.00000000
900.00000000	0.00010314	0.00010028	0.00000000	0.97229015	0.00000000
910.00000000	0.00010040	0.00010492	0.00000000	1.04507718	0.00000000
920.00000000	0.00009921	0.00010070	0.00000000	1.01500391	0.00000000
930.00000000	0.00008690	0.00010895	0.00000000	1.25370306	0.00000000
940.00000000	0.00007850	0.00010302	0.00000000	1.31242040	0.00000000
950.00000000	0.00005514	0.00010178	0.00000000	1.84598793	0.00000000
960.00000000	0.00004501	0.00010171	0.00000000	2.25996409	0.00000000
970.00000000	0.00003463	0.00010186	0.00000000	2.94108756	0.00000000
980.00000000	0.00002880	0.00009873	0.00000000	3.42794234	0.00000000
990.00000000	0.00002615	0.00010482	0.00000000	4.00819892	0.00000000
1000.00000000	0.00002463	0.00010246	0.00000000	4.16032275	0.00000000
