Wavelength(nm)	Power 1	Power 2	Power 3	P1/P3	P2/P3
670.00000000	0.00010604	0.00001316	0.00000000	0.12408693	0.00000000
680.00000000	0.00065997	0.00007577	0.00000000	0.11480883	0.00000000
690.00000000	0.00163668	0.00017075	0.00000000	0.10432463	0.00000000
700.00000000	0.00267976	0.00025631	0.00000000	0.09564526	0.00000000
710.00000000	0.00331904	0.00031744	0.00000000	0.09564338	0.00000000
720.00000000	0.00363489	0.00035274	0.00000000	0.09704344	0.00000000
730.00000000	0.00361850	0.00037872	0.00000000	0.10466289	0.00000000
740.00000000	0.00340865	0.00039888	0.00000000	0.11702058	0.00000000
750.00000000	0.00298479	0.00040925	0.00000000	0.13711183	0.00000000
760.00000000	0.00278716	0.00041003	0.00000000	0.14711471	0.00000000
770.00000000	0.00248409	0.00042442	0.00000000	0.17085684	0.00000000
780.00000000	0.00219825	0.00042905	0.00000000	0.19517992	0.00000000
790.00000000	0.00199152	0.00042612	0.00000000	0.21396689	0.00000000
800.00000000	0.00180013	0.00042875	0.00000000	0.23817721	0.00000000
810.00000000	0.00166733	0.00042888	0.00000000	0.25722255	0.00000000
820.00000000	0.00152641	0.00042931	0.00000000	0.28125480	0.00000000
830.00000000	0.00140916	0.00042599	0.00000000	0.30230423	0.00000000
840.00000000	0.00131031	0.00042123	0.00000000	0.32147669	0.00000000
850.00000000	0.00120811	0.00041391	0.00000000	0.34261211	0.00000000
860.00000000	0.00098064	0.00041051	0.00000000	0.41861902	0.00000000
870.00000000	0.00085276	0.00040108	0.00000000	0.47032723	0.00000000
880.00000000	0.00070176	0.00038303	0.00000000	0.54582044	0.00000000
890.00000000	0.00061938	0.00036785	0.00000000	0.59390634	0.00000000
900.00000000	0.00053791	0.00035892	0.00000000	0.66725777	0.00000000
910.00000000	0.00050611	0.00035286	0.00000000	0.69720138	0.00000000
920.00000000	0.00048322	0.00035118	0.00000000	0.72673632	0.00000000
930.00000000	0.00042594	0.00034187	0.00000000	0.80262272	0.00000000
940.00000000	0.00036750	0.00034073	0.00000000	0.92715327	0.00000000
950.00000000	0.00030766	0.00034798	0.00000000	1.13105983	0.00000000
960.00000000	0.00024104	0.00035938	0.00000000	1.49097634	0.00000000
970.00000000	0.00019352	0.00036043	0.00000000	1.86256476	0.00000000
980.00000000	0.00016073	0.00035823	0.00000000	2.22879892	0.00000000
990.00000000	0.00014973	0.00035316	0.00000000	2.35863476	0.00000000
1000.00000000	0.00012573	0.00032346	0.00000000	2.57260777	0.00000000
