Wavelength(nm)	Power 1	Power 2	Power 3	P1/P3	P2/P3
1000.00000000	0.00003382	0.00067346	0.00000000	19.91202657	0.00000000
995.00000000	0.00002789	0.00066196	0.00000000	23.73247784	0.00000000
990.00000000	0.00002249	0.00067247	0.00000000	29.90042931	0.00000000
985.00000000	0.00001733	0.00066639	0.00000000	38.45293664	0.00000000
980.00000000	0.00001302	0.00067805	0.00000000	52.09144614	0.00000000
975.00000000	0.00000919	0.00068564	0.00000000	74.62259934	0.00000000
970.00000000	0.00000626	0.00065981	0.00000000	105.32631053	0.00000000
965.00000000	0.00000432	0.00068062	0.00000000	160.11490565	0.00000000
960.00000000	0.00000289	0.00068251	0.00000000	236.53570808	0.00000000
955.00000000	0.00000196	0.00068780	0.00000000	350.62424722	0.00000000
950.00000000	0.00000135	0.00068980	0.00000000	511.87240510	0.00000000
945.00000000	0.00000086	0.00067373	0.00000000	783.35972735	0.00000000
940.00000000	0.00000061	0.00068243	0.00000000	1120.03494127	0.00000000
935.00000000	0.00000040	0.00066657	0.00000000	1661.86792321	0.00000000
930.00000000	0.00000031	0.00068507	0.00000000	2229.97922160	0.00000000
925.00000000	0.00000026	0.00068210	0.00000000	2617.36577740	0.00000000
920.00000000	0.00000022	0.00069657	0.00000000	3176.48490933	0.00000000
915.00000000	0.00000019	0.00067650	0.00000000	3586.30552954	0.00000000
910.00000000	0.00000017	0.00066706	0.00000000	3841.97850978	0.00000000
905.00000000	0.00000018	0.00069030	0.00000000	3879.60013645	0.00000000
900.00000000	0.00000016	0.00064643	0.00000000	3942.94442799	0.00000000
895.00000000	0.00000016	0.00066551	0.00000000	4124.74172963	0.00000000
890.00000000	0.00000017	0.00065641	0.00000000	3963.60004934	0.00000000
885.00000000	0.00000019	0.00069295	0.00000000	3617.91305259	0.00000000
880.00000000	0.00000018	0.00066804	0.00000000	3746.38220369	0.00000000
875.00000000	0.00000018	0.00069179	0.00000000	3769.63427249	0.00000000
870.00000000	0.00000018	0.00068483	0.00000000	3843.33984014	0.00000000
865.00000000	0.00000017	0.00068214	0.00000000	4022.63873118	0.00000000
860.00000000	0.00000016	0.00068963	0.00000000	4226.21150270	0.00000000
855.00000000	0.00000015	0.00068977	0.00000000	4731.51593559	0.00000000
850.00000000	0.00000013	0.00068019	0.00000000	5070.67398646	0.00000000
