Wavelength(nm)	Power 1	Power 2	Power 3	P1/P3	P2/P3
999.00000000	0.00000100	0.00031464	0.00000000	313.33646079	0.00000000
997.00000000	0.00000093	0.00031555	0.00000000	321.36521805	0.00000000
995.00000000	0.00000094	0.00031498	0.00000000	335.39035075	0.00000000
993.00000000	0.00000091	0.00032080	0.00000000	350.84094759	0.00000000
991.00000000	0.00000091	0.00032985	0.00000000	367.97968782	0.00000000
989.00000000	0.00000085	0.00032157	0.00000000	377.18393999	0.00000000
987.00000000	0.00000079	0.00031194	0.00000000	393.00332789	0.00000000
985.00000000	0.00000078	0.00032371	0.00000000	412.92202224	0.00000000
983.00000000	0.00000076	0.00032279	0.00000000	424.54496011	0.00000000
981.00000000	0.00000072	0.00031626	0.00000000	440.20548464	0.00000000
979.00000000	0.00000067	0.00031032	0.00000000	463.18442707	0.00000000
977.00000000	0.00000068	0.00032146	0.00000000	471.87838983	0.00000000
975.00000000	0.00000064	0.00031365	0.00000000	493.77280870	0.00000000
973.00000000	0.00000062	0.00031985	0.00000000	514.79299947	0.00000000
971.00000000	0.00000060	0.00031943	0.00000000	531.80900407	0.00000000
969.00000000	0.00000059	0.00031904	0.00000000	544.41764310	0.00000000
967.00000000	0.00000055	0.00031905	0.00000000	580.82417971	0.00000000
965.00000000	0.00000051	0.00031072	0.00000000	614.35603746	0.00000000
963.00000000	0.00000049	0.00032159	0.00000000	658.66053312	0.00000000
961.00000000	0.00000045	0.00031796	0.00000000	705.23468530	0.00000000
959.00000000	0.00000043	0.00032035	0.00000000	737.88966564	0.00000000
957.00000000	0.00000043	0.00032440	0.00000000	758.32805230	0.00000000
955.00000000	0.00000040	0.00031209	0.00000000	776.03527365	0.00000000
953.00000000	0.00000038	0.00031257	0.00000000	817.90115935	0.00000000
951.00000000	0.00000039	0.00031922	0.00000000	821.35633305	0.00000000
949.00000000	0.00000035	0.00031361	0.00000000	893.79628540	0.00000000
947.00000000	0.00000034	0.00032067	0.00000000	931.34478867	0.00000000
945.00000000	0.00000033	0.00032288	0.00000000	967.37071891	0.00000000
943.00000000	0.00000031	0.00031590	0.00000000	1007.33595848	0.00000000
941.00000000	0.00000031	0.00031915	0.00000000	1038.71127733	0.00000000
939.00000000	0.00000030	0.00031413	0.00000000	1051.28645260	0.00000000
937.00000000	0.00000027	0.00031716	0.00000000	1156.09505880	0.00000000
935.00000000	0.00000027	0.00032040	0.00000000	1167.93326126	0.00000000
933.00000000	0.00000028	0.00032323	0.00000000	1158.96747032	0.00000000
931.00000000	0.00000026	0.00031991	0.00000000	1239.32072575	0.00000000
929.00000000	0.00000025	0.00031372	0.00000000	1350.18453086	0.00000000
927.00000000	0.00000024	0.00031984	0.00000000	1344.06318736	0.00000000
925.00000000	0.00000022	0.00032468	0.00000000	1465.78873668	0.00000000
923.00000000	0.00000022	0.00032929	0.00000000	1473.53568567	0.00000000
921.00000000	0.00000020	0.00031487	0.00000000	1541.97451335	0.00000000
919.00000000	0.00000019	0.00031997	0.00000000	1685.59077657	0.00000000
917.00000000	0.00000019	0.00032646	0.00000000	1820.48902097	0.00000000
915.00000000	0.00000019	0.00032448	0.00000000	1669.96302083	0.00000000
913.00000000	0.00000017	0.00032279	0.00000000	1865.51280254	0.00000000
911.00000000	0.00000018	0.00032974	0.00000000	1847.86787971	0.00000000
909.00000000	0.00000017	0.00032182	0.00000000	1900.19586713	0.00000000
907.00000000	0.00000016	0.00031405	0.00000000	1955.21297486	0.00000000
905.00000000	0.00000015	0.00032118	0.00000000	2141.16236328	0.00000000
903.00000000	0.00000014	0.00030309	0.00000000	2123.76526534	0.00000000
901.00000000	0.00000015	0.00032308	0.00000000	2091.99786229	0.00000000
899.00000000	0.00000015	0.00032134	0.00000000	2164.35985603	0.00000000
897.00000000	0.00000014	0.00030259	0.00000000	2136.89064039	0.00000000
895.00000000	0.00000013	0.00031782	0.00000000	2359.49974378	0.00000000
893.00000000	0.00000013	0.00029773	0.00000000	2290.12652481	0.00000000
891.00000000	0.00000012	0.00030843	0.00000000	2568.68032812	0.00000000
889.00000000	0.00000010	0.00030186	0.00000000	2887.16421704	0.00000000
887.00000000	0.00000013	0.00031818	0.00000000	2474.17436550	0.00000000
885.00000000	0.00000011	0.00031456	0.00000000	2781.40076339	0.00000000
883.00000000	0.00000011	0.00031516	0.00000000	2950.16442816	0.00000000
881.00000000	0.00000009	0.00031623	0.00000000	3351.29391907	0.00000000
879.00000000	0.00000009	0.00031135	0.00000000	3297.54295714	0.00000000
877.00000000	0.00000009	0.00031436	0.00000000	3326.39344400	0.00000000
875.00000000	0.00000009	0.00032443	0.00000000	3617.96675228	0.00000000
873.00000000	0.00000008	0.00031514	0.00000000	3876.24154679	0.00000000
871.00000000	0.00000008	0.00031832	0.00000000	3933.91407506	0.00000000
869.00000000	0.00000008	0.00032435	0.00000000	4059.02242490	0.00000000
867.00000000	0.00000008	0.00031682	0.00000000	4193.01220223	0.00000000
865.00000000	0.00000007	0.00031366	0.00000000	4718.31033247	0.00000000
863.00000000	0.00000007	0.00031078	0.00000000	4350.37936704	0.00000000
861.00000000	0.00000006	0.00032105	0.00000000	5731.42626060	0.00000000
