Wavelength(nm)	Power 1	Power 2	Power 3	P1/P3	P2/P3
700.00000000	0.00018539	0.00000524	0.00000000	0.02829125	0.00000000
705.00000000	0.00051527	0.00001230	0.00000000	0.02387018	0.00000000
710.00000000	0.00047542	0.00001118	0.00000000	0.02350836	0.00000000
715.00000000	0.00011223	0.00000219	0.00000000	0.01950481	0.00000000
720.00000000	0.00016787	0.00000286	0.00000000	0.01703844	0.00000000
725.00000000	0.00056285	0.00000905	0.00000000	0.01607824	0.00000000
730.00000000	0.00061015	0.00000914	0.00000000	0.01498312	0.00000000
735.00000000	0.00025855	0.00000337	0.00000000	0.01303339	0.00000000
740.00000000	0.00008345	0.00000109	0.00000000	0.01302755	0.00000000
745.00000000	0.00036937	0.00000431	0.00000000	0.01168018	0.00000000
750.00000000	0.00065499	0.00000719	0.00000000	0.01096989	0.00000000
755.00000000	0.00051405	0.00000510	0.00000000	0.00991337	0.00000000
760.00000000	0.00013810	0.00000121	0.00000000	0.00876494	0.00000000
765.00000000	0.00010718	0.00000117	0.00000000	0.01090003	0.00000000
770.00000000	0.00042149	0.00000452	0.00000000	0.01072365	0.00000000
775.00000000	0.00061020	0.00000640	0.00000000	0.01049379	0.00000000
780.00000000	0.00041200	0.00000414	0.00000000	0.01004721	0.00000000
785.00000000	0.00011349	0.00000104	0.00000000	0.00919074	0.00000000
790.00000000	0.00010828	0.00000096	0.00000000	0.00882435	0.00000000
795.00000000	0.00034563	0.00000299	0.00000000	0.00864188	0.00000000
800.00000000	0.00052279	0.00000425	0.00000000	0.00813783	0.00000000
805.00000000	0.00044550	0.00000336	0.00000000	0.00754032	0.00000000
810.00000000	0.00016817	0.00000128	0.00000000	0.00759488	0.00000000
815.00000000	0.00004952	0.00000034	0.00000000	0.00687477	0.00000000
820.00000000	0.00016850	0.00000119	0.00000000	0.00706277	0.00000000
825.00000000	0.00039095	0.00000270	0.00000000	0.00690092	0.00000000
830.00000000	0.00045027	0.00000301	0.00000000	0.00668126	0.00000000
835.00000000	0.00030199	0.00000194	0.00000000	0.00641728	0.00000000
840.00000000	0.00009380	0.00000059	0.00000000	0.00626963	0.00000000
845.00000000	0.00005696	0.00000037	0.00000000	0.00647828	0.00000000
850.00000000	0.00018925	0.00000117	0.00000000	0.00620603	0.00000000
855.00000000	0.00035397	0.00000216	0.00000000	0.00609934	0.00000000
860.00000000	0.00038384	0.00000218	0.00000000	0.00567135	0.00000000
865.00000000	0.00025425	0.00000135	0.00000000	0.00532208	0.00000000
870.00000000	0.00010050	0.00000051	0.00000000	0.00506010	0.00000000
875.00000000	0.00003021	0.00000015	0.00000000	0.00498067	0.00000000
880.00000000	0.00010762	0.00000057	0.00000000	0.00530453	0.00000000
885.00000000	0.00023053	0.00000123	0.00000000	0.00532569	0.00000000
890.00000000	0.00030316	0.00000149	0.00000000	0.00490968	0.00000000
895.00000000	0.00025464	0.00000116	0.00000000	0.00456308	0.00000000
900.00000000	0.00013391	0.00000059	0.00000000	0.00439380	0.00000000
905.00000000	0.00004676	0.00000022	0.00000000	0.00464079	0.00000000
910.00000000	0.00002707	0.00000014	0.00000000	0.00518146	0.00000000
915.00000000	0.00008977	0.00000047	0.00000000	0.00523578	0.00000000
920.00000000	0.00018160	0.00000090	0.00000000	0.00495839	0.00000000
925.00000000	0.00022551	0.00000112	0.00000000	0.00495686	0.00000000
930.00000000	0.00019405	0.00000091	0.00000000	0.00469287	0.00000000
935.00000000	0.00011114	0.00000050	0.00000000	0.00453247	0.00000000
940.00000000	0.00003699	0.00000017	0.00000000	0.00447745	0.00000000
945.00000000	0.00001724	0.00000010	0.00000000	0.00579069	0.00000000
950.00000000	0.00005015	0.00000031	0.00000000	0.00614560	0.00000000
955.00000000	0.00011758	0.00000064	0.00000000	0.00547987	0.00000000
960.00000000	0.00015367	0.00000084	0.00000000	0.00548008	0.00000000
965.00000000	0.00016070	0.00000080	0.00000000	0.00497244	0.00000000
970.00000000	0.00011382	0.00000054	0.00000000	0.00471345	0.00000000
975.00000000	0.00005477	0.00000025	0.00000000	0.00454492	0.00000000
980.00000000	0.00001626	0.00000007	0.00000000	0.00448155	0.00000000
985.00000000	0.00001086	0.00000005	0.00000000	0.00476061	0.00000000
990.00000000	0.00003403	0.00000015	0.00000000	0.00447339	0.00000000
995.00000000	0.00006903	0.00000030	0.00000000	0.00439882	0.00000000
1000.00000000	0.00008645	0.00000035	0.00000000	0.00400905	0.00000000
